"Tenant Name","Account: Account Name","Account: Publication Name","Shop Dine Guide: Primary","Shop Dine Guide: Speciality","Tenant 18-Digit ID","Account: Account 18-Digit ID","Account: Billing Address","Building: Geolocation Fields (Latitude)","Building: Geolocation Fields (Longitude)"
"Vietnam Veterans Memorial - 55 Water Street","Vietnam Veterans Memorial","Vietnam Veterans Memorial","Public Art","","a152M00002SByDcQAL","0012M00002dv1e8QAA","55 Water Street, New York, NY 10041 United States","40.703576000000000","-74.009375000000000"
"Jasper?s Split Star, by Frank Stella - 7 World Trade Center","Jasper?s Split Star by Frank Stella","Jasper?s Split Star, by Frank Stella","Public Art","","a152M00002RKhJ1QAL","0012M00002dHzt9QAC","7 World Trade Center, New York, NY 10006 United States","40.713146999700000","-74.011924999600000"
"The Real World, by Tom Otterness - Nelson A. Rockefeller, Jr. Park","The Real World, by Tom Otterness - Out of District","The Real World, by Tom Otterness","Public Art","","a1541000008jWXZAA2","0014100001dLFdcAAG","Nelson A. Rockefeller Park, New York, NY 10282","40.717999069856450","-74.016328165088900"
"Double Check, by John Seward Johnson II - 1 Liberty Plaza","Double Check by John Seward Johnson II - 1 Liberty Plaza","Double Check, by John Seward Johnson II","Public Art","","a1541000008jWWvAAM","0014100001dLFeRAAW","1 Liberty Plaza, New York, NY 10006","40.709686300000000","-74.010887299999900"
"Rector Gate, by R.M. Fischer - Rector Park","Rector Gate, by R.M. Fischer - Rector Park","Rector Gate, by R.M. Fischer","Public Art","","a1541000008jWXSAA2","0014100001dLFdXAAW","South End Avenue and Rector Place, New York, NY 10280","36.272720000000000","-90.293580000000000"
"Pylons, by Martin Puryear - Nelson A. Rockefeller, Jr. Park","Pylons, by Martin Puryear - Out of District","Pylons, by Martin Puryear","Public Art","","a1541000008jWXRAA2","0014100001dLFdaAAG","Vesey Street and North End Avenue, New York, NY 10282","40.717999069856450","-74.016328165088900"
"East West Gate, by Yuyu Yang - 88 Pine Street","East West Gate, by Yuyu Yang","East West Gate, by Yuyu Yang","Public Art","","a152M00002SCYrOQAX","0012M00002dv595QAA","88 Pine Street, New York, NY 10005 United States","40.705708000000000","-74.005992000000000"
"Power vs. Play?, by Judith De Leeuw - 15 Cliff Street","Power vs. Play?, by Judith De Leeuw","Power vs. Play?, by Judith De Leeuw","Public Art","","a152M00002SCYuSQAX","0012M00002dv5CxQAI","15 Cliff Street, New York, NY 10038 United States","40.708444900000000","-74.005666400000000"
"Rose III, by Iza Genzken - Zuccotti Park","Rose III by Iza Genzken - Zuccotti Park","Rose III, by Iza Genzken","Public Art","","a152M00000AjpbyQAB","0012M000021yjfQQAQ","112 Trinity Place
Zuccotti Park, New York, NY 10006","40.709213000000000","-74.011247000000000"
"One World, Our Children, by Chinòn Maria - Albany Plaza","One World, Our Children by Chinòn Maria - Albany Plaza","One World, Our Children, by Chinòn Maria","Public Art","","a1541000008jTWNAA2","0014100001dLFwqAAG","Albany Plaza
(Albany Street & Greenwich Street), New York, NY 10004","40.709536000000000","-74.013458000000000"
